,Marca,Valor
269,Smartphone Motorola Moto G60 128gb Champagne 6gb Ram Xt2135,R$2.323
270,Smartphone Samsung Galaxy A03s Dual 6.5 64gb 4gb Ram Azul,R$1.499
271,Xiaomi Poco X3 Nfc Dual Sim 64 Gb Shadow Gray 6 Gb Ram,R$1.499
272,Moto G8 Plus 64 GB  cosmic blue 4 GB RAM,R$1.829
273,Xiaomi Poco X3 Nfc 64 Gb Shadow Gray 6 Gb Ram,R$1.557
274,Celular Para Idoso Botão Sos Rádio Fm Ee110 Preto Easy,R$167
275,Smartphone Xiaomi Redmi 9 64gb 4 De Ram Dual Chip,R$1.012
276,Xiaomi Poco X3 Pro 128gb 6gb Dual 120hz Snap 860 + Nfiscal,R$1.854
277,Multilaser Flip Vita Dual Sim 32 Mb Azul 32 Mb Ram,R$169
278,Celular Multilaser P/ Idoso Teclas Grandes Câmera Bluetooth,R$118
279,Smartphone Motorola Moto G20 64gb 4g Câmera Quádupla Azul,R$1.212
280,Xiaomi Poco M3 Dual Sim 64 Gb Power Black 4 Gb Ram,R$1.294
281,Smartphone Samsung Galaxy A10s 32gb 6.2  Vermelho Absurdo,"R$1.898,90"
282,"Smartphone Samsung Galaxy S20fe Tela 6,5 256 Gb 8 Gb Ram",R$5.499
283,Xiaomi Poco X3 Pro Dual Sim 128 Gb Metal Bronze 6 Gb Ram,R$1.788
284,iPhone 12 64 Gb Roxo Apple,R$5.399
285,Asus Zenfone Max Pro M2 Zb631kl Dual 64gb Titanium 6gb Ram,R$1.009
286,Smartphone Motorola Moto G100 Tl 6.7 256gb 12gb Ram Lumi Sky,R$3.999
287,Samsung Galaxy A02s Dual SIM 32 GB preto 3 GB RAM,R$888
288,Smartphone Samsung Galaxy A03s 64 Gb 4 Gb Ram Tela 6.5  Azul,"R$1.498,90"
289,Smartphone Asus Zenfone Shot Plus 128gb( 64gb+ 64gb Cartão),R$949
290,Samsung Galaxy A10s 32 GB vermelho 2 GB RAM,"R$981,90"
291,Samsung Galaxy Note20 Ultra 5G Dual SIM 256 GB branco-místico 12 GB RAM,R$4.799
292, Moto E4 Plus Dual SIM 16 GB cinza-escuro 2 GB RAM,"R$677,06"
293,Celular Multilaser Up Play P9134 Dual 3g Mp3 Bluetooth Preto,R$169
294,Xiaomi Redmi Note 8 Dual SIM 64 GB space black 4 GB RAM,R$1.239
295,Realme 8 5G Dual SIM 128 GB supersonic blue 8 GB RAM,"R$1.788,88"
296,Blackview BV9100 Dual SIM 64 GB cinza 4 GB RAM,R$1.949
297,Smartphone Xiaomi Redmi 9a Dual Sim 32 Gb Cinza 2 Gb Ram,"R$815,41"
298,Xiaomi Redmi Note 8 64 Gb Branco 4 Gb Ram Global+nota,R$1.248
299,Samsung Galaxy J5 16gb Dourado Celular Usado Bom,R$439
300,Nokia Cseries C2-01 43 MB preto 64 MB RAM,R$360
301,Celular Ideal Para Idoso Simples LG B220 Dual Chip Rádio Fm,"R$179,99"
302,L8star BM70 32 MB preto 32 MB RAM,R$139
303,Celular Flip Vita Azul Dual Chip Quadriband P9020 Multilaser,"R$183,82"
304,Celular Idoso Bateria Potente Som Alto Teclas Grandes Fácil,"R$114,98"
305,Ulefone Armor X3 Dual SIM 32 GB vermelho 2 GB RAM,R$929
306,Xiaomi Redmi Note 9 Dual Sim 64 Gb Cinza-meia-noite 3 Gb Ram,R$1.222
307,Samsung Galaxy J1 Mini Dual SIM 8 GB dourado 1 GB RAM,R$649
308,Positivo Twist 3 Pro S533 Dual SIM 64 GB grafite 1 GB RAM,R$549
309,Samsung Galaxy A01 Dual SIM 32 GB vermelho 2 GB RAM,R$814
310,Xiaomi Redmi 9 Power Dual SIM 64 GB blazing blue 4 GB RAM,R$1.239
311,Samsung Galaxy J8 64gb Preto Bom,R$739
312,Realme 8 Pro Dual SIM 128 GB infinite blue 6 GB RAM,R$1.814
313,Xiaomi Poco M3 Dual Sim 128 Gb  Power Black 4 Gb Ram,R$1.398
314,Multilaser Vita Dual Sim 32 Mb Preto 24 Mb Ram,R$130
315,Xiaomi Poco F3 5G Dual SIM 256 GB azul 8 GB RAM,R$2.859
316,Multilaser Flip Vita Dual SIM 32 MB dourado 32 MB RAM,R$166
317,Multilaser F Dual SIM 16 GB café 1 GB RAM,R$454
318,LG G5 32 GB ouro 4 GB RAM,R$999
319,Telefone Idoso Tela 5.5  Sistema +simples Smart 2chip 3g,R$749
320,Multilaser F Pro Dual SIM 16 GB preto 1 GB RAM,R$459
321,Multilaser New Up Dual Sim 32 Mb Preto 32 Mb Ram,R$78
322,Celular Do Idoso Teclas Grandes 32gb Tela 5' Sos Positivo,R$669
323,Apple iPhone 4s 8gb Desbloqueado Original Anatel - Exposição,R$379
324,Cubot King Kong 5 Pro Dual SIM 64 GB black 4 GB RAM,R$1.549
325,"Samsung Galaxy S6 Edge + G928 - 4g, 32 Gb, 16mp - Mostruário",R$1.399
326,Xiaomi 9c 64gb 3ram 100% Original Top Global Pelicula Promo,R$1.105
327,Smartphone Philco Pcs02p Android 10 Dual Sim 128gb Preto,R$1.499
328,Samsung Galaxy A02s Dual SIM 32 GB preto 3 GB RAM,R$888
329,Realme 8 5G Dual SIM 128 GB supersonic blue 8 GB RAM,"R$1.788,88"
